Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Year
,,,378.0,1.0,25.0,15.0,337.0,,178.0,,112.0,4.0,2020
,,,31.0,0.0,1.0,0.0,30.0,86.0,37.0,39.0,10.0,0.0,2020
,,385.0,2.0,0.0,0.0,0.0,2.0,6.0,1.0,4.0,1.0,0.0,2020
,,,25.0,0.0,10.0,0.0,15.0,77.0,7.0,68.0,2.0,0.0,2020
,,,1.0,0.0,0.0,0.0,1.0,31.0,3.0,23.0,5.0,1.0,2020
,,,2.0,0.0,2.0,0.0,0.0,33.0,9.0,24.0,0.0,0.0,2020
,,,746.0,23.0,27.0,59.0,637.0,,414.0,,253.0,42.0,2020
,,768.0,2.0,0.0,0.0,0.0,2.0,10.0,2.0,7.0,1.0,0.0,2020
,,,42.0,1.0,15.0,1.0,25.0,255.0,41.0,196.0,18.0,1.0,2020
,,,5.0,0.0,2.0,0.0,3.0,17.0,7.0,7.0,3.0,0.0,2020
,,,25.0,0.0,7.0,2.0,16.0,107.0,12.0,90.0,5.0,0.0,2020
,,,10.0,1.0,2.0,0.0,7.0,50.0,9.0,36.0,5.0,1.0,2020
,,714.0,3.0,0.0,1.0,0.0,2.0,18.0,2.0,13.0,3.0,0.0,2020
,,448.0,2.0,0.0,0.0,0.0,2.0,10.0,1.0,9.0,0.0,0.0,2020
,,,8.0,0.0,1.0,2.0,5.0,30.0,9.0,19.0,2.0,0.0,2020
,,,274.0,0.0,69.0,18.0,187.0,,129.0,,128.0,7.0,2020
,,488.0,1.0,0.0,0.0,0.0,1.0,13.0,1.0,8.0,4.0,0.0,2020
,,,139.0,2.0,17.0,9.0,111.0,,122.0,926.0,85.0,1.0,2020
,,,206.0,7.0,29.0,27.0,143.0,983.0,110.0,769.0,104.0,2.0,2020
,,,21.0,0.0,2.0,1.0,18.0,64.0,21.0,32.0,11.0,1.0,2020
,,,11.0,0.0,3.0,0.0,8.0,103.0,27.0,68.0,8.0,0.0,2020
,,,202.0,3.0,14.0,14.0,171.0,847.0,237.0,525.0,85.0,2.0,2020
,,,84.0,0.0,20.0,11.0,53.0,449.0,72.0,329.0,48.0,2.0,2020
,,,19.0,0.0,6.0,1.0,12.0,19.0,4.0,13.0,2.0,0.0,2020
,,210.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,2020
,,,107.0,2.0,6.0,7.0,92.0,331.0,76.0,237.0,18.0,5.0,2020
,,530.0,2.0,0.0,1.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,2020
,,726.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,5.0,2.0,0.0,2020
,,,273.0,4.0,22.0,21.0,226.0,922.0,155.0,696.0,71.0,4.0,2020
,,,52.0,0.0,16.0,1.0,35.0,370.0,86.0,257.0,27.0,2.0,2020
,,,6.0,0.0,2.0,0.0,4.0,50.0,11.0,37.0,2.0,1.0,2020
,,,124.0,0.0,24.0,3.0,97.0,701.0,228.0,417.0,56.0,0.0,2020
,,,4.0,0.0,1.0,0.0,3.0,67.0,19.0,42.0,6.0,1.0,2020
,,,13.0,1.0,4.0,0.0,8.0,135.0,60.0,65.0,10.0,0.0,2020
,,,22.0,0.0,4.0,0.0,18.0,59.0,18.0,35.0,6.0,1.0,2020
,,,66.0,1.0,8.0,4.0,53.0,109.0,32.0,66.0,11.0,3.0,2020
,,,29.0,1.0,2.0,3.0,23.0,119.0,40.0,66.0,13.0,2.0,2020
