State,City,Year,Population,Violent crime,Murder and nonnegligent manslaughter,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
ARKANSAS,Earle,2020,2156.0,16.0,0.0,1.0,0.0,15.0,47.0,12.0,35.0,0.0,1.0
ARKANSAS,El Dorado,2020,17523.0,241.0,8.0,14.0,24.0,195.0,794.0,363.0,377.0,54.0,7.0
ARKANSAS,Etowah,2020,313.0,2.0,0.0,0.0,0.0,2.0,11.0,4.0,5.0,2.0,0.0
ARKANSAS,Eudora,2020,1866.0,5.0,1.0,0.0,0.0,4.0,24.0,8.0,16.0,0.0,6.0
ARKANSAS,Eureka Springs,2020,2110.0,11.0,0.0,1.0,0.0,10.0,73.0,18.0,50.0,5.0,0.0
ARKANSAS,Fairfield Bay,2020,2173.0,13.0,0.0,1.0,0.0,12.0,42.0,12.0,26.0,4.0,0.0
ARKANSAS,Farmington,2020,7575.0,18.0,0.0,7.0,1.0,10.0,75.0,18.0,43.0,14.0,0.0
ARKANSAS,Fayetteville,2020,89252.0,517.0,6.0,66.0,55.0,390.0,4611.0,411.0,3673.0,527.0,15.0
ARKANSAS,Flippin,2020,1319.0,5.0,1.0,3.0,0.0,1.0,47.0,7.0,37.0,3.0,0.0
ARKANSAS,Fordyce,2020,3646.0,61.0,0.0,5.0,3.0,53.0,146.0,26.0,112.0,8.0,0.0
ARKANSAS,Forrest City,2020,13656.0,223.0,4.0,13.0,9.0,197.0,614.0,95.0,440.0,79.0,9.0
ARKANSAS,Fort Smith,2020,88071.0,1031.0,7.0,96.0,106.0,822.0,4871.0,637.0,3716.0,518.0,17.0
ARKANSAS,Gassville,2020,2168.0,4.0,0.0,0.0,0.0,4.0,46.0,4.0,41.0,1.0,0.0
ARKANSAS,Gentry,2020,4086.0,17.0,0.0,3.0,0.0,14.0,21.0,1.0,13.0,7.0,0.0
ARKANSAS,Gillett,2020,680.0,2.0,0.0,2.0,0.0,0.0,6.0,2.0,4.0,0.0,0.0
ARKANSAS,Gravette,2020,3558.0,23.0,0.0,3.0,0.0,20.0,52.0,9.0,37.0,6.0,0.0
ARKANSAS,Greenbrier,2020,5779.0,1.0,0.0,1.0,0.0,0.0,14.0,0.0,12.0,2.0,0.0
ARKANSAS,Green Forest,2020,2760.0,36.0,1.0,11.0,1.0,23.0,38.0,7.0,28.0,3.0,0.0
ARKANSAS,Greenland,2020,1416.0,3.0,0.0,2.0,0.0,1.0,13.0,1.0,10.0,2.0,0.0
